date,crime,zone,summary,pio
"February 11, 2021",Missing Person,All Zones,"UPDATE: Feb. 11, 2021 Tonnesha Kenny has been located and she is safe. Thank you to the public and the media for sharing the information. Pittsburgh Police SVU detectives are asking the public's help to locate a missing and endangered female. Tonnesha Kenney, 20, was last seen in the North Side on February 10 around 7 p.m. She is 4’9” around 70 pounds with brown eyes and black hair. Tonnesha was wearing a gray jumpsuit, green sweatshirt and UGG slippers, possibly headed to Highwood Cemetery. If located, please contact SVU at 412-323-7141.",Maurice Matthew
"November 22, 2021",Shooting,Zone 5,"At approximately 7:15 p.m., Zone 5 officers were flagged down by bystanders in the 7800 block of Frankstown Avenue for a male who had been shot. The male victim had sustained two gunshot wounds. EMS transported him to the hospital in critical condition. Police located a crime scene in the 7800 block of Bennett Street. The Violent Crime Unit and Crime Scene Unit detectives arrived to investigate and process the scene. The investigation is ongoing.",Cara Cruz
"April 1, 2020",Fatal Shooting,Zone 4,"Pittsburgh Police from Zone 4 responded to a Shotspotter alert followed by 911 calls for the 300 block of Meyran Avenue around 12:35 a.m. When responding officers arrived on scene, they found a male victim with a gunshot wound to the head. Medics transported the victim to a local hospital where he was pronounced deceased. There were no other injuries. One vehicle was struck by rounds during the incident. No description of a suspect is available at this time. Detectives from Major Crimes and the Crime Scene Unit arrived to process the scene and are investigating.",Maurice Matthew
"December 16, 2019",Fire,Zone 4,"Pittsburgh Bureau of Fire responded to 9-1-1 calls for a structure fire at 3950 Murray Avenue at 6:49 a.m. When they arrived on scene they found a 28-year-old female who had jumped from a second-floor window to escape the fire. She had landed on a dump truck below, receiving some lacerations. She was transported by EMS to the hospital. Firefighters were able to contain the fire to the second floor of the two-storey structure, before it was extinguished. The structure had two apartments on the top and two businesses on the ground floor. One of the businesses was vacant and for lease. No one else in the apartments or the occupied business was hurt. The Fire Investigations Unit will investigate the cause of the fire. For at least two firefighters on scene, this was their first call as new Pittsburgh Bureau of Fire firefighters, after graduating on Friday, December 13.",Cara Cruz
"June 18, 2020",Sex Suspect Arrest,McKeesport/Hazelwood,"The Special Victims Unit cleared two warrants for a suspected sexual predator. McKeesport Police officers detained Melvyn Darryl Johnson, 37 of Hazelwood on Tuesday, June 16, in McKeesport. Zone 4 officers took custody and transported him to Police Headquarters for questioning. Johnson faces multiple charges, to include involuntary deviate sexual intercourse, endangering the welfare of children, indecent assault, corruption of minors, criminal solicitation, and unlawful contact with a minor.",Chris Togneri
"July 15, 2021",Carjacking,"Zones 6, 1","Just before 10 p.m, Zone 6 officers responded to a Shotspotter notification for the 3100 block of Ashlyn Street. Once on scene, they located a shell casing and were notified by dispatch that a male victim had left the immediate area, but wished to speak with police. He told officers he was held at gunpoint by two male actors who fired a shot into the ground and stole his vehicle. The vehicle was later found in a ditch in the 3000 block of Shadeland Avenue in Zone 1. The occupants fled on foot. The vehicle was secured and towed to the Auto Squad to be processed. The investigation is ongoing.",Cara Cruz
"October 30, 2019",Robbery,Zone 1 / Zone 5,"Pittsburgh Police responded to reports of two separate robberies of Rite Aid pharmacies on October 30. Just after 7:45 p.m. responding officers from Zone 5 arrived at 1800 Morningside Avenue. Employees told them a male wearing a white hoodie entered the store, walked up the clerk, displayed a handgun in his waistband, and demanded money. The suspect received an undetermined amount of money and left the store. He is described as early 20's, 5 feet 11 inches tall. Just before 8:30 p.m. officers from Zone 1 responded to a call of a robbery at 802 Pennsylvania Avenue. Upon arrival a clerk told them a male was buying candy when he reached into the register and took an undetermined amount of money. He then fled the store. He is described as about 6 feet 3 inches tall and 150 pounds, wearing a black hoodie. VCU and the Crime Scene Unit processed both scenes and police continue to investigate.",Cara Cruz
"May 14, 2020",Shooting,Zone 4,Pittsburgh Bureau of Police officers responded to a ShotSpotter notification of multiple gunshots on the 5000 block of 2nd Avenue around 8:50 p.m. Zone 4 officers found multiple buildings and vehicles that had been struck by gunfire. No actors or victims were located. Police are investigating.,Chris Togneri
"August 6, 2019",Boat vs. Barge Collision,Ohio River,"Pittsburgh River Rescue responded to a report of a barge vs. pleasure craft collision on the Ohio River around 12:15 a.m. River Rescue and the Fire Boat arrived on scene -- below the Point and above the West End Bridge -- within minutes and found a pleasure craft with three adults caught under the front right side of the barge. The barge was empty and riding high, so the operator was unaware the pleasure craft was caught under it. The operator slowed and stopped the barge after seeing and hearing River Rescue’s lights and sirens. River Rescue took the three adults onto the River Rescue boat and transported them to the North Shore boathouse outside PNC Park. A female passenger complained of minor lower leg injuries and a male passenger complained of neck and back pain. A third passenger, a male, was not injured. Landside Medics transported them to a local hospital to be evaluated. River Rescue returned to the barge, freed the pleasure craft and towed it to the boathouse. It appears that the boat became caught on the barge somewhere on the Monongahela River. The pleasure craft operators then called 911 for help. The U.S. Coast Guard is investigating. The Pittsburgh River Rescue Unit, founded in 1986, consists of members of Pittsburgh Police and Pittsburgh EMS. The primary mission of the River Rescue Unit is to prevent and to respond to waterborne emergencies in the waterways in and around the City of Pittsburgh.",Chris Togneri
"April 18, 2021",SWAT,Zone 4,Police Responded to a 9-1-1 call of a male shooting from the back of his house on the 0 block of Bigelow Street around 10:45 a.m. Responding Zone 4 officers were directed to the house where the male was seen shooting from. A neighbor stated they witnessed a rifle sticking out of a window. Officers gave verbal commands for the male to exit the house. The male continued to shoot at cans in the backyard from inside the house. SWAT responded when the male refused and barricaded himself inside. He surrendered to police without incident around an hour later. The investigation is ongoing. Police believe the weapon was an Air Rifle.,Maurice Matthew
