headline,link,date,author,description,tags
A conversation with Tonya Simpson of WTMJ-Milwaukee,https://www.ire.org/a-conversation-with-tonya-simpson-of-wtmj-milwaukee/,"June 18, 2016",hdcoadmin,"Tonya SimpsonPhoto by Aliah Williamson At the IRE Conference in New Orleans, 2016 Knight Scholar Aliah Williamson spoke with Tonya Simpson, executive producer of the investigative team and special projects at […]","Humans of IRE, IRE Conference"
How journalists cover crime and policing in the wake of Ferguson,https://www.ire.org/how-journalists-cover-crime-and-policing-in-the-wake-of-ferguson/,"June 18, 2016",hdcoadmin,"By Reade Levinson Michael Brown's death in Ferguson, Missouri changed the way journalists cover law enforcement. At the 2016 IRE Conference in New Orleans, civil rights activist DeRay Mckesson joined […]","crime, criminal justice, Ferguson, police, police reporting"
A conversation with Francisco Vara-Orta of the University of Missouri,https://www.ire.org/a-conversation-with-francisco-vara-orta-of-the-university-of-missouri/,"June 18, 2016",hdcoadmin,"At the IRE Conference in New Orleans, 2016 Knight Scholar Arriana McLymore spoke with attendee Francisco Vara-Orta, a graduate student at the University of Missouri. McLymore: What interested you in […]","Humans of IRE, IRE Conference"
Seven elected to IRE Board of Directors,https://www.ire.org/seven-elected-to-ire-board-of-directors/,"June 18, 2016",hdcoadmin,"IRE members elected seven new directors to the IRE board on Saturday evening at the organization's annual conference in New Orleans. The newly elected members are: Sarah Cohen, The New […]",
Best practices for investigating litigious billionaires,https://www.ire.org/best-practices-for-investigating-litigious-billionaires/,"June 18, 2016",hdcoadmin,"By Taeler De Haes We live in a world of billionaires who exert quite a bit of influence over our lives, especially as reporters. At the recent IRE Conference in […]","Investigations, lawsuit, politics"
How to find and use data to cover the lower courts,https://www.ire.org/how-to-find-and-use-data-to-cover-the-lower-courts/,"June 17, 2016",hdcoadmin,By Ashley Balcerzak Reporters write story after story about the vacant U.S. Supreme Court seat left by Antonin Scalia. But many news outlets overlook the benches in their local areas […],"court documents, courts, jail, law enforcement"
Tips for small newsrooms and freelancers wanting to take on big investigations,https://www.ire.org/tips-for-small-newsrooms-and-freelancers-wanting-to-take-on-big-investigations/,"June 16, 2016",hdcoadmin,"By Reade Levinson How do you begin investigative reporting when you’re short on cash? Start by searching Google for documents tagged “confidential.” At the “Investigative Reporting on a Shoestring” panel, […]","Conference, IRE"
IRE Conference schedule changes and updates,https://www.ire.org/ire-conference-schedule-changes-and-updates/,"June 16, 2016",hdcoadmin,"2016 IRE Conference Addendum Thursday, June 16, 2016 Schedule changes and additions THURSDAY New! Welcome and overview of the conference 8:30-8:50 a.m. in Salon E  IRE Staff   NICAR Commons: […]","Conference, IRE"
Welcome to the 2016 IRE Conference,https://www.ire.org/welcome-to-the-2016-ire-conference/,"June 15, 2016",hdcoadmin,"Welcome to the 2016 IRE Conference. Below are a few bits of information to help you prepare for this great conference! For the most up-to-date information about panels, speakers and […]","Conference, IRE"
IRE Executive Director Search Committee update,https://www.ire.org/ire-executive-director-search-committee-update/,"June 14, 2016",hdcoadmin,The IRE Board of Directors has appointed a committee of IRE members and representatives of the University of Missouri School of Journalism to conduct a search for IRE's next executive […],
2016 IRE Conference app available for download,https://www.ire.org/2016-ire-conference-app-available-for-download/,"June 13, 2016",hdcoadmin,The 2016 IRE Conference app is now available through Guidebook! We encourage you to download our mobile guide to enhance your experience at the 2016 IRE Conference. You'll be able to plan your […],IRE Conference
IRE Radio Podcast | Regulated by God,https://www.ire.org/ire-radio-podcast-regulated-by-god/,"June 13, 2016",Erica Martin,"No parent wants to put their child in danger. But when parents in some states enroll their children in religious day cares, that’s exactly what happens. On this episode, Reveal […]","udio, housing, Podcast, radio, religion"
Finalists announced for 2016 Golden Padlock award,https://www.ire.org/finalists-announced-for-2016-golden-padlock-award/,"June 13, 2016",hdcoadmin,"COLUMBIA, MISSOURI: Investigative Reporters and Editors is proud to announce the finalists for its 2016 Golden Padlock Award celebrating the most secretive government agency or individual in the United States.  “Transparency and accountability are concepts […]","olden, padlock"
There’s still time to join us at the IRE Conference,https://www.ire.org/theres-still-time-to-join-us-at-the-ire-conference/,"June 9, 2016",hdcoadmin,"Hundreds of journalists will be in New Orleans next week sharing skills, resources and story ideas as part of Investigative Reporters & Editors’ annual conference. With more than 400 speakers […]",IRE Conference
Broadcasters: Sign up for coaching opportunities in New Orleans,https://www.ire.org/broadcasters-sign-up-for-coaching-opportunities-in-new-orleans/,"June 6, 2016",hdcoadmin,We’re offering several opportunities for broadcast journalists to receive individualized and small-group coaching at the IRE Conference in New Orleans. Al Tompkins of Poynter will be offering a handful of […],"Broadcast, IRE Conference, mentoring"
A restaurant critic's guide to eating out in New Orleans,https://www.ire.org/a-restaurant-critics-guide-to-eating-out-in-new-orleans/,"June 1, 2016",hdcoadmin,"View a larger version of this map By Lee Zurik, WVUE/FOX8 Brett Anderson has one of the “toughest” jobs in the Crescent City. He gets paid to eat. For more […]","Conference, IRE"
Initial application deadline approaching for IRE executive director post,https://www.ire.org/initial-application-deadline-approaching-for-ire-executive-director-post/,"May 27, 2016",hdcoadmin,Investigative Reporters & Editors is looking for an executive director with the vision to lead the world’s largest organization supporting investigative and data journalism. The position involves overseeing a dynamic […],"IRE, news-1"
IRE announces winners of Freelance Fellowship competition,https://www.ire.org/ire-announces-winners-of-freelance-fellowship-competition-5/,"May 26, 2016",hdcoadmin,"Projects investigating criminal justice and child welfare issues have been awarded IRE Freelance Fellowships this year. The winners of the 2016 competition are: Adam Wisnieski, First Place, an independent journalist […]","Freelance Fellowship, independent journalist"
IRE Preview: Jerry Mitchell to discuss investigating the Klan and other civil rights cold cases,https://www.ire.org/ire-preview-jerry-mitchell-to-discuss-investigating-the-klan-and-other-civil-rights-cold-cases/,"May 25, 2016",hdcoadmin,"Jerry Mitchell | Credit: John D. & Catherine T. MacArthur Foundation As a veteran investigative reporting working in Mississippi, Jerry Mitchell of The Clarion-Ledger has won delayed justice for many black […]","Conference, IRE"
Azerbaijan: Journalist Khadija Ismayilova Set Free After Final Appeal Hearing,https://www.ire.org/azerbaijan-journalist-khadija-ismayilova-set-free-after-final-appeal-hearing/,"May 25, 2016",hdcoadmin,"By Stella Roque, OCCRP Editor's Note: This article first ran on May 25, 2016 on the Organized Crime and Corruption Reporting Project's website. Journalist Khadija Ismayilova was set free after […]","Khadija Project, OCCRP, press freedom"
Journalism organizations to offer special training in New Orleans,https://www.ire.org/journalism-organizations-to-offer-special-training-in-new-orleans/,"May 24, 2016",Erica Martin,"If you’re making the trip to New Orleans for the IRE Conference, consider tacking on some additional training. Several of our partners are offering special workshops and classes in conjunction […]","Conference, IRE"
IRE Radio Podcast | BONUS: Tips from a FOIA Terrorist,https://www.ire.org/ire-radio-podcast-bonus-tips-from-a-foia-terrorist/,"May 23, 2016",Erica Martin,"You’ve probably heard of Jason Leopold, even if his name doesn’t immediately ring a bell. He’s the journalist who forced the release of Hillary Clinton’s emails. He’s also unearthed shocking […]","udio, FOI, FOIA, open records, Podcast"
IRE Preview: Go behind the Panama Papers and other international investigations,https://www.ire.org/ire-preview-go-behind-the-panama-papers-and-other-international-investigations/,"May 23, 2016",hdcoadmin,Get an inside look at how the mammoth collaboration for the Panama Papers came together. You'll hear about the technical details of giving a group of journalists throughout the world […],"international, IRE Conference"
"IRE Preview: Learn how to investigate seafood slavery, product supply chains",https://www.ire.org/ire-preview-learn-how-to-investigate-seafood-slavery-product-supply-chains/,"May 19, 2016",hdcoadmin,"Go behind the scenes to learn how a team of AP reporters launched an investigation that helped free more than 2,000 enslaved workers. Martha Mendoza and Mary Rajkumar of The […]","IRE Conference, slavery, supply chain"
"IRE Preview: Criminal justice tracks to include information on police shootings, protests",https://www.ire.org/ire-preview-criminal-justice-tracks-to-include-information-on-police-shootings-protests/,"May 18, 2016",hdcoadmin,"A series of sessions at the IRE Conference in New Orleans will dig into one of the biggest stories of our time. Sessions will include ""After Ferguson: What's next for […]","Ferguson, IRE Conference, police"
Going beyond stereotypes to report on substance abuse and addiction,https://www.ire.org/going-beyond-stereotypes-to-report-on-substance-abuse-and-addiction/,"May 17, 2016",hdcoadmin,"By Jennifer Lu When writing about a topic as pervasive and complex as heroin addiction, the last thing you want to do is to get it wrong. At the 2016 […]","ddiction, audio, Drugs, substance abuse"
Pitch an idea for NICAR Commons at IRE 2016,https://www.ire.org/pitch-an-idea-for-nicar-commons-at-ire-2016/,"May 16, 2016",Erica Martin,"We’re bringing the popular NICAR Commons series to the IRE Conference in New Orleans ­– and we want your ideas! NICAR Commons is a space for informal, conversation-driven sessions. Most […]","IRE Conference, NICAR"
